timestamp,item_id,item_name,item_type,parent_id,quantity,lead_time,cost,supplier,inventory,min_stock,assembly_time
2024-04-12 09:15:00,LM000,Advanced Lithography Machine,final_product,,1,197,15381007,OurCompany,5,1,0
2023-09-12 14:30:00,OS001,Optical System,subsystem,LM000,1,83,5164874,OpticsCorp,3,1,43
2023-12-07 11:45:00,WS002,Wafer Stage,subsystem,LM000,1,65,2056530,MotionTech,2,1,37
2024-06-20 08:00:00,CS003,Control System,subsystem,LM000,1,49,959492,ControlSolutions,5,1,25
2024-02-20 16:20:00,FR004,Frame,component,LM000,1,28,521700,StructureCo,7,3,13
2023-10-13 10:00:00,LN005,Lens Assembly,component,OS001,1,41,972828,PrecisionOptics,1,1,22
2024-04-28 13:15:00,LS006,Light Source,component,OS001,1,32,520303,LaserTech,4,1,7
2024-02-04 09:30:00,MR007,Mirror Set,component,OS001,1,21,196568,ReflectCo,8,3,16
2023-08-10 07:45:00,MT008,High-Precision Motor,component,WS002,3,16,48499,MotorWorks,19,8,12
2023-12-16 15:00:00,SN009,Position Sensor,component,WS002,1,10,19401,SensorTech,27,12,5
2024-05-05 14:30:00,CP010,Industrial Computer,component,CS003,1,21,100265,CompTech,7,2,4
2023-12-15 10:00:00,SW011,Control Software Package,component,CS003,1,4,502118,SoftwareSolutions,9,5,2
2023-11-26 09:15:00,LM012,Advanced Lithography Machine,final_product,,1,177,15744695,OurCompany,3,2,0
2023-10-09 14:30:00,OS013,Optical System,subsystem,LM000,1,91,5210243,OpticsCorp,2,1,44
2024-04-20 11:45:00,WS014,Wafer Stage,subsystem,LM000,1,59,1987872,MotionTech,3,2,38
2023-12-30 08:00:00,CS015,Control System,subsystem,LM000,1,43,983693,ControlSolutions,3,1,26
2024-02-02 16:20:00,FR016,Frame,component,LM000,1,27,492641,StructureCo,7,2,12
2024-04-16 10:00:00,LN017,Lens Assembly,component,OS001,1,42,1036598,PrecisionOptics,1,1,22
2024-06-17 13:15:00,LS018,Light Source,component,OS001,1,29,491609,LaserTech,5,2,7
2023-11-12 09:30:00,MR019,Mirror Set,component,OS001,1,20,201037,ReflectCo,7,4,14
2023-09-24 07:45:00,MT020,High-Precision Motor,component,WS002,4,14,49843,MotorWorks,16,8,11
2023-10-26 15:00:00,SN021,Position Sensor,component,WS002,2,10,20656,SensorTech,35,10,5
2023-10-13 14:30:00,CP022,Industrial Computer,component,CS003,1,18,103303,CompTech,10,2,4
2023-12-19 10:00:00,SW023,Control Software Package,component,CS003,1,4,505231,SoftwareSolutions,9,5,2
2024-04-11 09:15:00,LM024,Advanced Lithography Machine,final_product,,1,170,15215346,OurCompany,6,1,0
2023-08-05 14:30:00,OS025,Optical System,subsystem,LM000,1,91,5072390,OpticsCorp,3,1,47
2024-02-14 11:45:00,WS026,Wafer Stage,subsystem,LM000,1,54,1942984,MotionTech,4,1,35
2024-02-28 08:00:00,CS027,Control System,subsystem,LM000,1,48,1049153,ControlSolutions,4,2,22
2024-07-09 16:20:00,FR028,Frame,component,LM000,1,27,524862,StructureCo,7,2,11
2024-06-15 10:00:00,LN029,Lens Assembly,component,OS001,1,43,1031096,PrecisionOptics,2,1,25
2024-03-05 13:15:00,LS030,Light Source,component,OS001,1,30,490502,LaserTech,4,2,8
2023-09-11 09:30:00,MR031,Mirror Set,component,OS001,2,18,206627,ReflectCo,9,4,16
2023-11-18 07:45:00,MT032,High-Precision Motor,component,WS002,4,14,51933,MotorWorks,16,7,11
2024-01-10 15:00:00,SN033,Position Sensor,component,WS002,2,9,19661,SensorTech,38,12,6
2024-03-23 14:30:00,CP034,Industrial Computer,component,CS003,1,20,101464,CompTech,8,3,3
2024-03-03 10:00:00,SW035,Control Software Package,component,CS003,1,4,483439,SoftwareSolutions,12,5,2
2024-04-22 09:15:00,LM036,Advanced Lithography Machine,final_product,,1,194,14898802,OurCompany,5,1,0
2024-04-09 14:30:00,OS037,Optical System,subsystem,LM000,1,91,4873499,OpticsCorp,2,1,47
2023-10-13 11:45:00,WS038,Wafer Stage,subsystem,LM000,1,56,2019161,MotionTech,5,1,32
2023-07-28 08:00:00,CS039,Control System,subsystem,LM000,1,45,951792,ControlSolutions,4,1,24
2024-03-29 16:20:00,FR040,Frame,component,LM000,1,31,489186,StructureCo,8,3,10
2024-03-29 10:00:00,LN041,Lens Assembly,component,OS001,1,49,1017996,PrecisionOptics,1,1,22
2024-07-16 13:15:00,LS042,Light Source,component,OS001,1,32,514317,LaserTech,5,1,7
2024-02-27 09:30:00,MR043,Mirror Set,component,OS001,1,18,193397,ReflectCo,8,3,17
2024-02-25 07:45:00,MT044,High-Precision Motor,component,WS002,3,15,49914,MotorWorks,14,8,11
2024-05-09 15:00:00,SN045,Position Sensor,component,WS002,1,10,20601,SensorTech,30,11,6
2023-11-03 14:30:00,CP046,Industrial Computer,component,CS003,1,21,98002,CompTech,8,2,3
2024-06-23 10:00:00,SW047,Control Software Package,component,CS003,1,4,513922,SoftwareSolutions,7,4,1
2024-07-07 09:15:00,LM048,Advanced Lithography Machine,final_product,,1,165,15169114,OurCompany,5,1,0
2023-11-22 14:30:00,OS049,Optical System,subsystem,LM000,1,91,4779091,OpticsCorp,2,1,45
2024-07-09 11:45:00,WS050,Wafer Stage,subsystem,LM000,1,65,1959370,MotionTech,4,1,39
2024-04-29 08:00:00,CS051,Control System,subsystem,LM000,1,45,950221,ControlSolutions,3,1,26
2024-05-26 16:20:00,FR052,Frame,component,LM000,1,28,493368,StructureCo,9,2,12
2024-06-06 10:00:00,LN053,Lens Assembly,component,OS001,1,49,1036605,PrecisionOptics,2,1,22
2024-05-28 13:15:00,LS054,Light Source,component,OS001,1,30,476912,LaserTech,5,1,7
2024-03-31 09:30:00,MR055,Mirror Set,component,OS001,2,20,193232,ReflectCo,11,4,17
2024-06-28 07:45:00,MT056,High-Precision Motor,component,WS002,3,15,51290,MotorWorks,16,7,12
2023-09-24 15:00:00,SN057,Position Sensor,component,WS002,2,9,20703,SensorTech,22,11,6
2024-04-15 14:30:00,CP058,Industrial Computer,component,CS003,1,18,101479,CompTech,6,3,3
2024-03-03 10:00:00,SW059,Control Software Package,component,CS003,1,4,483365,SoftwareSolutions,7,5,1
2023-09-12 09:15:00,LM060,Advanced Lithography Machine,final_product,,1,177,15134953,OurCompany,4,1,0
2024-03-31 14:30:00,OS061,Optical System,subsystem,LM000,1,94,5069135,OpticsCorp,2,1,45
2023-10-01 11:45:00,WS062,Wafer Stage,subsystem,LM000,1,59,2061471,MotionTech,3,2,33
2024-06-12 08:00:00,CS063,Control System,subsystem,LM000,1,42,1011579,ControlSolutions,4,2,22
2023-08-25 16:20:00,FR064,Frame,component,LM000,1,30,483740,StructureCo,8,3,12
2023-08-25 10:00:00,LN065,Lens Assembly,component,OS001,1,48,1034290,PrecisionOptics,2,1,24
2024-04-07 13:15:00,LS066,Light Source,component,OS001,1,31,518043,LaserTech,6,2,8
2023-10-01 09:30:00,MR067,Mirror Set,component,OS001,1,18,208035,ReflectCo,11,4,14
2023-09-21 07:45:00,MT068,High-Precision Motor,component,WS002,3,15,51189,MotorWorks,14,7,10
2024-04-28 15:00:00,SN069,Position Sensor,component,WS002,2,9,19379,SensorTech,38,12,6
2023-08-20 14:30:00,CP070,Industrial Computer,component,CS003,1,20,99180,CompTech,9,3,3
2023-11-24 10:00:00,SW071,Control Software Package,component,CS003,1,4,479797,SoftwareSolutions,11,5,1
2023-10-17 09:15:00,LM072,Advanced Lithography Machine,final_product,,1,180,14421667,OurCompany,4,1,0
2024-07-06 14:30:00,OS073,Optical System,subsystem,LM000,1,97,5240334,OpticsCorp,3,1,49
2024-05-02 11:45:00,WS074,Wafer Stage,subsystem,LM000,1,61,2001211,MotionTech,3,2,37
2024-03-07 08:00:00,CS075,Control System,subsystem,LM000,1,43,1008457,ControlSolutions,5,1,22
2024-04-18 16:20:00,FR076,Frame,component,LM000,1,32,499580,StructureCo,9,3,12
2024-06-09 10:00:00,LN077,Lens Assembly,component,OS001,1,44,959663,PrecisionOptics,2,1,26
2024-05-02 13:15:00,LS078,Light Source,component,OS001,1,30,516006,LaserTech,4,1,8
2024-02-15 09:30:00,MR079,Mirror Set,component,OS001,1,20,194767,ReflectCo,11,4,16
2024-07-12 07:45:00,MT080,High-Precision Motor,component,WS002,4,15,48211,MotorWorks,20,7,11
2024-07-15 15:00:00,SN081,Position Sensor,component,WS002,1,10,19521,SensorTech,34,12,6
2024-01-02 14:30:00,CP082,Industrial Computer,component,CS003,1,19,100335,CompTech,9,2,4
2024-02-11 10:00:00,SW083,Control Software Package,component,CS003,1,4,497979,SoftwareSolutions,11,4,2
2024-06-11 09:15:00,LM084,Advanced Lithography Machine,final_product,,1,180,14682039,OurCompany,3,2,0
2024-05-02 14:30:00,OS085,Optical System,subsystem,LM000,1,88,5016091,OpticsCorp,2,1,47
2023-10-05 11:45:00,WS086,Wafer Stage,subsystem,LM000,1,61,1999556,MotionTech,4,2,39
2024-05-24 08:00:00,CS087,Control System,subsystem,LM000,1,45,1023751,ControlSolutions,6,1,22
2024-06-07 16:20:00,FR088,Frame,component,LM000,1,31,477605,StructureCo,9,3,11
2024-06-17 10:00:00,LN089,Lens Assembly,component,OS001,1,48,1010003,PrecisionOptics,2,1,22
2023-10-23 13:15:00,LS090,Light Source,component,OS001,1,30,511737,LaserTech,5,2,8
2024-04-17 09:30:00,MR091,Mirror Set,component,OS001,2,18,192860,ReflectCo,7,3,16
2023-08-17 07:45:00,MT092,High-Precision Motor,component,WS002,3,15,48100,MotorWorks,19,8,12
2024-01-20 15:00:00,SN093,Position Sensor,component,WS002,2,9,19334,SensorTech,37,12,6
2024-03-31 14:30:00,CP094,Industrial Computer,component,CS003,1,19,104097,CompTech,10,3,4
2024-07-23 10:00:00,SW095,Control Software Package,component,CS003,1,4,521475,SoftwareSolutions,12,5,2
2023-10-18 09:15:00,LM096,Advanced Lithography Machine,final_product,,1,162,15146231,OurCompany,5,2,0
2024-06-16 14:30:00,OS097,Optical System,subsystem,LM000,1,90,4876297,OpticsCorp,2,1,52
2024-06-01 11:45:00,WS098,Wafer Stage,subsystem,LM000,1,57,2060362,MotionTech,2,1,35
2024-01-26 08:00:00,CS099,Control System,subsystem,LM000,1,44,955169,ControlSolutions,5,2,25
2024-04-29 16:20:00,FR100,Frame,component,LM000,1,32,490072,StructureCo,8,3,11
2024-02-03 10:00:00,LN101,Lens Assembly,component,OS001,1,42,982331,PrecisionOptics,1,1,25
2023-10-08 13:15:00,LS102,Light Source,component,OS001,1,32,484454,LaserTech,4,2,7
2024-04-08 09:30:00,MR103,Mirror Set,component,OS001,1,21,197052,ReflectCo,7,3,15
2024-07-24 07:45:00,MT104,High-Precision Motor,component,WS002,3,15,49073,MotorWorks,18,7,12
2024-01-18 15:00:00,SN105,Position Sensor,component,WS002,1,9,19565,SensorTech,38,13,6
2024-03-04 14:30:00,CP106,Industrial Computer,component,CS003,1,21,96650,CompTech,9,2,3
2023-08-02 10:00:00,SW107,Control Software Package,component,CS003,1,4,522048,SoftwareSolutions,7,4,2
2024-07-13 09:15:00,LM108,Advanced Lithography Machine,final_product,,1,188,15632599,OurCompany,5,1,0
2023-08-21 14:30:00,OS109,Optical System,subsystem,LM000,1,97,4833505,OpticsCorp,3,1,48
2023-10-31 11:45:00,WS110,Wafer Stage,subsystem,LM000,1,61,2082709,MotionTech,4,1,33
2023-12-11 08:00:00,CS111,Control System,subsystem,LM000,1,44,1004430,ControlSolutions,4,1,23
2024-02-17 16:20:00,FR112,Frame,component,LM000,1,30,522068,StructureCo,8,2,11
2023-08-26 10:00:00,LN113,Lens Assembly,component,OS001,1,48,1030282,PrecisionOptics,2,1,23
2024-07-24 13:15:00,LS114,Light Source,component,OS001,1,32,498515,LaserTech,3,2,7
2024-05-10 09:30:00,MR115,Mirror Set,component,OS001,2,20,206326,ReflectCo,9,3,15
2023-12-31 07:45:00,MT116,High-Precision Motor,component,WS002,3,13,49242,MotorWorks,24,7,12
2023-11-14 15:00:00,SN117,Position Sensor,component,WS002,1,10,20791,SensorTech,33,12,5
2024-02-16 14:30:00,CP118,Industrial Computer,component,CS003,1,20,102119,CompTech,8,2,3
2024-01-19 10:00:00,SW119,Control Software Package,component,CS003,1,4,502640,SoftwareSolutions,7,4,2
2024-04-27 09:15:00,LM120,Advanced Lithography Machine,final_product,,1,173,14329586,OurCompany,5,1,0
2024-06-18 14:30:00,OS121,Optical System,subsystem,LM000,1,96,5235258,OpticsCorp,3,1,45
2023-12-18 11:45:00,WS122,Wafer Stage,subsystem,LM000,1,60,1909690,MotionTech,2,1,37
2023-12-10 08:00:00,CS123,Control System,subsystem,LM000,1,46,952959,ControlSolutions,3,2,22
2024-03-16 16:20:00,FR124,Frame,component,LM000,1,29,485600,StructureCo,9,2,12
2024-04-17 10:00:00,LN125,Lens Assembly,component,OS001,1,46,1037522,PrecisionOptics,1,1,22
2023-12-22 13:15:00,LS126,Light Source,component,OS001,1,28,515543,LaserTech,4,1,7
2023-10-06 09:30:00,MR127,Mirror Set,component,OS001,2,18,208246,ReflectCo,12,4,15
2023-12-21 07:45:00,MT128,High-Precision Motor,component,WS002,4,14,47640,MotorWorks,21,7,11
2024-05-20 15:00:00,SN129,Position Sensor,component,WS002,2,9,20526,SensorTech,27,10,6
2024-04-01 14:30:00,CP130,Industrial Computer,component,CS003,1,18,96116,CompTech,7,3,3
2023-12-28 10:00:00,SW131,Control Software Package,component,CS003,1,5,512885,SoftwareSolutions,7,5,2
2024-07-02 09:15:00,LM132,Advanced Lithography Machine,final_product,,1,183,14878771,OurCompany,5,1,0
2023-08-31 14:30:00,OS133,Optical System,subsystem,LM000,1,95,4936644,OpticsCorp,3,1,46
2024-05-05 11:45:00,WS134,Wafer Stage,subsystem,LM000,1,58,2067088,MotionTech,5,2,33
2023-12-18 08:00:00,CS135,Control System,subsystem,LM000,1,40,953545,ControlSolutions,4,1,24
2024-02-26 16:20:00,FR136,Frame,component,LM000,1,27,509009,StructureCo,5,3,12
2023-12-24 10:00:00,LN137,Lens Assembly,component,OS001,1,44,969157,PrecisionOptics,1,1,25
2023-08-05 13:15:00,LS138,Light Source,component,OS001,1,30,504028,LaserTech,4,2,8
2023-08-13 09:30:00,MR139,Mirror Set,component,OS001,2,19,209329,ReflectCo,12,4,16
2024-04-01 07:45:00,MT140,High-Precision Motor,component,WS002,4,14,50575,MotorWorks,20,8,11
2024-06-17 15:00:00,SN141,Position Sensor,component,WS002,1,9,20447,SensorTech,35,12,6
2023-09-11 14:30:00,CP142,Industrial Computer,component,CS003,1,19,101373,CompTech,8,3,4
2023-08-08 10:00:00,SW143,Control Software Package,component,CS003,1,5,493024,SoftwareSolutions,10,5,2
2024-02-23 09:15:00,LM144,Advanced Lithography Machine,final_product,,1,162,14343308,OurCompany,5,2,0
2024-04-23 14:30:00,OS145,Optical System,subsystem,LM000,1,86,4752059,OpticsCorp,3,1,46
2023-11-25 11:45:00,WS146,Wafer Stage,subsystem,LM000,1,61,1936254,MotionTech,3,2,37
2023-10-20 08:00:00,CS147,Control System,subsystem,LM000,1,45,1048319,ControlSolutions,5,1,25
2023-09-07 16:20:00,FR148,Frame,component,LM000,1,27,476269,StructureCo,9,3,13
2023-07-29 10:00:00,LN149,Lens Assembly,component,OS001,1,44,1003054,PrecisionOptics,2,1,23
2024-03-25 13:15:00,LS150,Light Source,component,OS001,1,30,481252,LaserTech,4,2,7
2024-02-10 09:30:00,MR151,Mirror Set,component,OS001,1,21,208301,ReflectCo,7,4,17
2024-06-29 07:45:00,MT152,High-Precision Motor,component,WS002,4,16,48284,MotorWorks,14,7,10
2024-05-29 15:00:00,SN153,Position Sensor,component,WS002,1,9,20871,SensorTech,35,11,6
2024-02-15 14:30:00,CP154,Industrial Computer,component,CS003,1,19,101031,CompTech,6,2,4
2024-04-06 10:00:00,SW155,Control Software Package,component,CS003,1,5,510072,SoftwareSolutions,9,4,1
2024-05-30 09:15:00,LM156,Advanced Lithography Machine,final_product,,1,182,15118504,OurCompany,4,2,0
2023-11-13 14:30:00,OS157,Optical System,subsystem,LM000,1,95,5148713,OpticsCorp,3,1,47
2024-07-23 11:45:00,WS158,Wafer Stage,subsystem,LM000,1,61,1958416,MotionTech,3,1,36
2024-05-27 08:00:00,CS159,Control System,subsystem,LM000,1,45,964895,ControlSolutions,4,1,22
2023-09-30 16:20:00,FR160,Frame,component,LM000,1,31,507913,StructureCo,6,3,12
2023-12-17 10:00:00,LN161,Lens Assembly,component,OS001,1,47,992566,PrecisionOptics,1,1,24
2023-11-06 13:15:00,LS162,Light Source,component,OS001,1,32,492491,LaserTech,5,2,8
2023-11-23 09:30:00,MR163,Mirror Set,component,OS001,1,18,205019,ReflectCo,12,3,17
2023-09-03 07:45:00,MT164,High-Precision Motor,component,WS002,4,15,47837,MotorWorks,22,7,11
2023-08-29 15:00:00,SN165,Position Sensor,component,WS002,2,10,19178,SensorTech,21,11,6
2024-07-16 14:30:00,CP166,Industrial Computer,component,CS003,1,18,100579,CompTech,10,2,3
2024-02-18 10:00:00,SW167,Control Software Package,component,CS003,1,5,520933,SoftwareSolutions,11,4,1
2023-08-12 09:15:00,LM168,Advanced Lithography Machine,final_product,,1,175,14917686,OurCompany,4,2,0
2024-01-10 14:30:00,OS169,Optical System,subsystem,LM000,1,98,4988635,OpticsCorp,2,1,43
2023-11-26 11:45:00,WS170,Wafer Stage,subsystem,LM000,1,58,1923756,MotionTech,4,2,38
2024-02-16 08:00:00,CS171,Control System,subsystem,LM000,1,47,956894,ControlSolutions,4,2,23
2024-06-24 16:20:00,FR172,Frame,component,LM000,1,32,483002,StructureCo,7,2,12
2023-11-30 10:00:00,LN173,Lens Assembly,component,OS001,1,49,975578,PrecisionOptics,2,1,23
2024-05-02 13:15:00,LS174,Light Source,component,OS001,1,30,490376,LaserTech,4,1,8
2023-10-15 09:30:00,MR175,Mirror Set,component,OS001,2,20,192622,ReflectCo,10,4,14
2023-10-09 07:45:00,MT176,High-Precision Motor,component,WS002,4,16,47700,MotorWorks,22,8,11
2023-12-03 15:00:00,SN177,Position Sensor,component,WS002,1,9,19494,SensorTech,32,10,5
2023-10-30 14:30:00,CP178,Industrial Computer,component,CS003,1,19,100448,CompTech,8,2,3
2024-05-27 10:00:00,SW179,Control Software Package,component,CS003,1,4,486358,SoftwareSolutions,10,4,2
2024-07-26 09:15:00,LM180,Advanced Lithography Machine,final_product,,1,186,14746665,OurCompany,4,2,0
2024-01-30 14:30:00,OS181,Optical System,subsystem,LM000,1,87,4840394,OpticsCorp,3,1,52
2023-09-28 11:45:00,WS182,Wafer Stage,subsystem,LM000,1,59,1980961,MotionTech,4,2,39
2023-12-02 08:00:00,CS183,Control System,subsystem,LM000,1,42,1032092,ControlSolutions,4,1,25
2024-01-21 16:20:00,FR184,Frame,component,LM000,1,28,485599,StructureCo,9,2,12
2024-05-01 10:00:00,LN185,Lens Assembly,component,OS001,1,47,953871,PrecisionOptics,1,1,24
2023-08-30 13:15:00,LS186,Light Source,component,OS001,1,30,510939,LaserTech,4,1,8
2023-08-20 09:30:00,MR187,Mirror Set,component,OS001,1,19,194554,ReflectCo,9,4,15
2024-01-04 07:45:00,MT188,High-Precision Motor,component,WS002,3,15,51707,MotorWorks,17,7,12
2024-07-19 15:00:00,SN189,Position Sensor,component,WS002,2,9,20509,SensorTech,25,11,5
2023-11-29 14:30:00,CP190,Industrial Computer,component,CS003,1,20,104692,CompTech,9,3,3
2023-10-28 10:00:00,SW191,Control Software Package,component,CS003,1,4,506464,SoftwareSolutions,8,5,2
2024-04-28 09:15:00,LM192,Advanced Lithography Machine,final_product,,1,194,15109727,OurCompany,4,1,0
2024-04-25 14:30:00,OS193,Optical System,subsystem,LM000,1,97,4884314,OpticsCorp,3,1,47
2023-10-28 11:45:00,WS194,Wafer Stage,subsystem,LM000,1,59,2045063,MotionTech,3,2,33
2024-07-15 08:00:00,CS195,Control System,subsystem,LM000,1,44,1004684,ControlSolutions,5,1,25
2024-07-22 16:20:00,FR196,Frame,component,LM000,1,31,515144,StructureCo,7,3,11
2024-01-14 10:00:00,LN197,Lens Assembly,component,OS001,1,42,1035973,PrecisionOptics,1,1,25
2023-09-29 13:15:00,LS198,Light Source,component,OS001,1,29,517710,LaserTech,5,2,8
2023-08-28 09:30:00,MR199,Mirror Set,component,OS001,1,18,205988,ReflectCo,12,4,15
2024-02-13 07:45:00,MT200,High-Precision Motor,component,WS002,3,13,49908,MotorWorks,18,7,11
2023-08-28 15:00:00,SN201,Position Sensor,component,WS002,1,10,20554,SensorTech,32,12,6
2023-11-22 14:30:00,CP202,Industrial Computer,component,CS003,1,20,99101,CompTech,9,2,3
2024-04-23 10:00:00,SW203,Control Software Package,component,CS003,1,5,475249,SoftwareSolutions,11,5,1
2024-01-24 09:15:00,LM204,Advanced Lithography Machine,final_product,,1,170,15381139,OurCompany,5,2,0
2024-07-02 14:30:00,OS205,Optical System,subsystem,LM000,1,85,4998673,OpticsCorp,2,1,52
2024-01-15 11:45:00,WS206,Wafer Stage,subsystem,LM000,1,57,1973898,MotionTech,4,2,32
2024-05-15 08:00:00,CS207,Control System,subsystem,LM000,1,45,991756,ControlSolutions,4,2,22
2024-05-03 16:20:00,FR208,Frame,component,LM000,1,27,478242,StructureCo,6,2,12
2023-08-20 10:00:00,LN209,Lens Assembly,component,OS001,1,46,1045098,PrecisionOptics,2,1,26
2023-08-16 13:15:00,LS210,Light Source,component,OS001,1,31,486467,LaserTech,6,1,7
2024-06-28 09:30:00,MR211,Mirror Set,component,OS001,2,20,194667,ReflectCo,12,3,16
2024-06-09 07:45:00,MT212,High-Precision Motor,component,WS002,4,13,49967,MotorWorks,19,7,12
2024-03-10 15:00:00,SN213,Position Sensor,component,WS002,2,10,19536,SensorTech,29,11,6
2024-01-22 14:30:00,CP214,Industrial Computer,component,CS003,1,18,104951,CompTech,7,2,4
2023-12-05 10:00:00,SW215,Control Software Package,component,CS003,1,5,490026,SoftwareSolutions,11,5,2
2023-10-23 09:15:00,LM216,Advanced Lithography Machine,final_product,,1,183,15172457,OurCompany,4,2,0
2023-12-15 14:30:00,OS217,Optical System,subsystem,LM000,1,87,4864115,OpticsCorp,2,1,48
2024-04-26 11:45:00,WS218,Wafer Stage,subsystem,LM000,1,64,1952075,MotionTech,3,2,33
2023-10-14 08:00:00,CS219,Control System,subsystem,LM000,1,43,993490,ControlSolutions,6,1,22
2023-10-27 16:20:00,FR220,Frame,component,LM000,1,31,495733,StructureCo,9,3,11
2023-11-24 10:00:00,LN221,Lens Assembly,component,OS001,1,47,974507,PrecisionOptics,2,1,22
2024-07-11 13:15:00,LS222,Light Source,component,OS001,1,29,482781,LaserTech,4,2,7
2023-11-11 09:30:00,MR223,Mirror Set,component,OS001,2,19,192055,ReflectCo,11,3,14
2024-04-29 07:45:00,MT224,High-Precision Motor,component,WS002,3,16,48250,MotorWorks,18,8,11
2024-02-17 15:00:00,SN225,Position Sensor,component,WS002,1,9,19105,SensorTech,34,12,6
2023-12-07 14:30:00,CP226,Industrial Computer,component,CS003,1,19,97884,CompTech,9,3,3
2024-05-30 10:00:00,SW227,Control Software Package,component,CS003,1,4,524716,SoftwareSolutions,8,4,1
2024-01-07 09:15:00,LM228,Advanced Lithography Machine,final_product,,1,166,15191160,OurCompany,6,2,0
2023-11-20 14:30:00,OS229,Optical System,subsystem,LM000,1,97,5118985,OpticsCorp,3,1,46
2024-07-07 11:45:00,WS230,Wafer Stage,subsystem,LM000,1,61,1936329,MotionTech,4,1,38
2024-04-15 08:00:00,CS231,Control System,subsystem,LM000,1,46,1002004,ControlSolutions,5,2,23
2023-09-05 16:20:00,FR232,Frame,component,LM000,1,29,495390,StructureCo,6,2,12
2023-10-18 10:00:00,LN233,Lens Assembly,component,OS001,1,45,999677,PrecisionOptics,1,1,22
2023-10-30 13:15:00,LS234,Light Source,component,OS001,1,32,516790,LaserTech,5,1,8
2024-01-23 09:30:00,MR235,Mirror Set,component,OS001,2,20,192446,ReflectCo,9,3,15
2024-03-29 07:45:00,MT236,High-Precision Motor,component,WS002,4,14,51350,MotorWorks,21,8,10
2023-08-10 15:00:00,SN237,Position Sensor,component,WS002,2,9,19331,SensorTech,21,11,6
2023-12-09 14:30:00,CP238,Industrial Computer,component,CS003,1,21,99469,CompTech,8,2,3
2023-12-31 10:00:00,SW239,Control Software Package,component,CS003,1,5,516510,SoftwareSolutions,10,5,2
2023-09-26 09:15:00,LM240,Advanced Lithography Machine,final_product,,1,191,14352606,OurCompany,6,2,0
2024-06-11 14:30:00,OS241,Optical System,subsystem,LM000,1,86,4918003,OpticsCorp,2,1,46
2024-05-02 11:45:00,WS242,Wafer Stage,subsystem,LM000,1,64,2028581,MotionTech,4,2,39
2024-03-09 08:00:00,CS243,Control System,subsystem,LM000,1,42,987345,ControlSolutions,4,1,26
2023-09-19 16:20:00,FR244,Frame,component,LM000,1,29,505018,StructureCo,5,3,13
2023-08-30 10:00:00,LN245,Lens Assembly,component,OS001,1,46,1010063,PrecisionOptics,1,1,24
2024-07-03 13:15:00,LS246,Light Source,component,OS001,1,31,477365,LaserTech,5,2,7
2023-12-31 09:30:00,MR247,Mirror Set,component,OS001,1,20,199872,ReflectCo,8,3,17
2023-09-18 07:45:00,MT248,High-Precision Motor,component,WS002,3,15,49306,MotorWorks,18,7,13
